i_id,i_n,j_id,j_n,alpha
7,30,19,32,-.01060468
7,30,20,34,-.01060468
7,30,21,9,-.71060467
7,30,22,12,-.71060467
8,25,1,25,.089395314
8,25,2,17,.58939528
8,25,3,19,.089395314
8,25,4,23,-.81060469
8,25,5,18,.089395314
8,25,6,22,.83520246
8,25,7,25,.33520246
8,25,8,26,-.06479755
8,25,9,41,.83520246
8,25,10,30,.83520246
8,25,11,24,-.06479755
8,25,12,38,.83520246
8,25,13,27,.33520246
8,25,14,40,.58939528
8,25,15,19,-.31060469
8,25,16,13,-.81060469
8,25,17,7,-.81060469
8,25,18,8,-.81060469
8,25,19,32,.089395314
8,25,20,34,.58939528
8,25,21,9,-.81060469
8,25,22,12,-.81060469
9,19,1,25,-.31060469
9,19,2,17,-.11060469
9,19,3,19,-.31060469
9,19,4,23,-.51060468
9,19,5,18,-.31060469
9,19,6,22,.13520245
9,19,7,25,-.06479755
9,19,8,26,-.06479755
9,19,9,41,.13520245
9,19,10,30,.13520245
9,19,11,24,-.06479755
9,19,12,38,.13520245
9,19,13,27,-.06479755
9,19,14,40,-.11060469
9,19,15,19,-.31060469
9,19,16,13,-.51060468
9,19,17,7,-.51060468
9,19,18,8,-.51060468
9,19,19,32,-.31060469
9,19,20,34,-.11060469
9,19,21,9,-.51060468
9,19,22,12,-.51060468
10,22,1,25,-.31060469
10,22,2,17,-.11060469
10,22,3,19,-.31060469
10,22,4,23,-.51060468
10,22,5,18,-.31060469
10,22,6,22,.13520245
10,22,7,25,-.06479755
10,22,8,26,-.06479755
10,22,9,41,.13520245
10,22,10,30,.13520245
10,22,11,24,-.06479755
10,22,12,38,.13520245
10,22,13,27,-.06479755
10,22,14,40,-.11060469
10,22,15,19,-.31060469
10,22,16,13,-.51060468
10,22,17,7,-.51060468
10,22,18,8,-.51060468
10,22,19,32,-.31060469
10,22,20,34,-.11060469
10,22,21,9,-.51060468
10,22,22,12,-.51060468
11,21,1,25,-.31060469
11,21,2,17,-.11060469
11,21,3,19,-.31060469
11,21,4,23,-.51060468
11,21,5,18,-.31060469
11,21,6,22,-.11060469
11,21,7,25,-.31060469
11,21,8,26,-.31060469
11,21,9,41,-.11060469
11,21,10,30,-.11060469
11,21,11,24,-.31060469
11,21,12,38,-.11060469
11,21,13,27,-.31060469
11,21,14,40,.13520245
11,21,15,19,-.06479755
11,21,16,13,-.26479757
11,21,17,7,-.26479757
11,21,18,8,-.26479757
11,21,19,32,.1393953
11,21,20,34,.13520245
11,21,21,9,-.26479757
11,21,22,12,-.26479757
12,55,1,25,.089395314
12,55,2,17,.58939528
12,55,3,19,.089395314
12,55,4,23,-.81060469
12,55,5,18,.089395314
12,55,6,22,.58939528
12,55,7,25,.089395314
12,55,8,26,-.31060469
12,55,9,41,.58939528
12,55,10,30,.58939528
12,55,11,24,-.31060469
12,55,12,38,.58939528
12,55,13,27,.089395314
12,55,14,40,.83520246
12,55,15,19,-.06479755
12,55,16,13,-.56479752
12,55,17,7,-.56479752
12,55,18,8,-.56479752
12,55,19,32,.52051574
12,55,20,34,.83520246
12,55,21,9,-.56479752
12,55,22,12,-.56479752
13,43,1,25,.089395314
13,43,2,17,.58939528
13,43,3,19,.089395314
13,43,4,23,-.81060469
13,43,5,18,.089395314
13,43,6,22,.58939528
13,43,7,25,.089395314
13,43,8,26,-.31060469
13,43,9,41,.58939528
13,43,10,30,.58939528
13,43,11,24,-.31060469
13,43,12,38,.58939528
13,43,13,27,.089395314
13,43,14,40,.83520246
13,43,15,19,-.06479755
13,43,16,13,-.56479752
13,43,17,7,-.56479752
13,43,18,8,-.56479752
13,43,19,32,1.2893953
13,43,20,34,.83520246
13,43,21,9,-.56479752
13,43,22,12,-.56479752
14,15,1,25,-.31060469
14,15,2,17,-.11060469
14,15,3,19,-.31060469
14,15,4,23,-.51060468
14,15,5,18,-.31060469
14,15,6,22,-.11060469
14,15,7,25,-.31060469
14,15,8,26,-.31060469
14,15,9,41,-.11060469
14,15,10,30,-.11060469
14,15,11,24,-.31060469
14,15,12,38,-.11060469
14,15,13,27,-.31060469
14,15,14,40,.13520245
14,15,15,19,-.06479755
14,15,16,13,-.26479757
14,15,17,7,-.26479757
14,15,18,8,.17014514
14,15,19,32,.23139048
14,15,20,34,.13520245
14,15,21,9,-.26479757
14,15,22,12,-.26479757
15,26,1,25,-.01060468
15,26,2,17,-.01060468
15,26,3,19,-.01060468
15,26,4,23,-.71060467
15,26,5,18,-.01060468
15,26,6,22,-.01060468
15,26,7,25,-.01060468
15,26,8,26,-.31060469
15,26,9,41,-.01060468
15,26,10,30,-.01060468
15,26,11,24,-.31060469
15,26,12,38,-.01060468
15,26,13,27,-.01060468
15,26,14,40,.23520246
15,26,15,19,-.06479755
15,26,16,13,-.46479756
15,26,17,7,-.46479756
15,26,18,8,-.46479756
15,26,19,32,.23520246
15,26,20,34,.23520246
15,26,21,9,-.11375445
15,26,22,12,-.46479756
1,29,0,,0
2,29,0,,0
3,27,0,,0
4,28,0,,0
5,31,0,,0
6,24,0,,0
7,30,0,,0
8,25,0,,0
9,19,0,,0
10,22,0,,0
11,21,0,,0
12,55,0,,0
13,43,0,,0
14,15,0,,0
15,26,0,,0
0,,1,25,0
0,,2,17,0
0,,3,19,0
0,,4,23,0
0,,5,18,0
0,,6,22,0
0,,7,25,0
0,,8,26,0
0,,9,41,0
0,,10,30,0
0,,11,24,0
0,,12,38,0
0,,13,27,0
0,,14,40,0
0,,15,19,0
0,,16,13,0
0,,17,7,0
0,,18,8,0
0,,19,32,0
0,,20,34,0
0,,21,9,0
0,,22,12,0
