i_id,i_n,j_id,j_n,start_mu_ij,alpha,mu
3,27,9,20,1.7033464,-.31060469,0.4485002378243744
3,27,10,25,1.9043992,-.31060469,0.7099570257311069
3,27,11,26,1.9421138,-.31060469,0.8871527466254502
3,27,12,41,2.4388208,-.31060469,0.8618123210560674
3,27,13,30,2.0861647,-.31060469,0.6260856384475341
3,27,14,24,1.8659225,-.31060469,0.8212093208058419
3,27,15,38,2.3479009,-.31060469,0.8428754802457361
3,27,16,27,1.9791096,-.31060469,0.7652582449949844
3,27,17,18,1.6159363,-.31060469,0.6187177312728793
3,27,18,40,2.4088955,-.31060469,0.8691093173200442
3,27,19,19,1.6602167,-.31060469,0.6521582203960252
3,27,20,13,1.3732817,-.31060469,0.5833379993818724
3,27,21,7,1.0077133,-.31060469,0.3215392285189576
3,27,22,25,1.9043992,-.31060469,0.6657578229778873
3,27,23,8,1.0772909,-.31060469,0.3612467588761913
3,27,24,32,2.1545818,-.31060469,0.8008747696555041
3,27,25,34,2.220892,-.31060469,0.7456371315333132
3,27,26,9,1.1426395,-.31060469,0.4055236750424572
3,27,27,12,1.3194064,-.31060469,0.5442811584452573
3,27,28,7,1.0077133,-.31060469,0.3215392285191906
3,27,29,17,1.5704077,-.31060469,0.5851837935468617
3,27,30,22,1.7864847,-.31060469,0.7519267111064024
4,26,1,25,2.3895464,-.06479755,0.7974850512858616
4,26,2,17,2.406738,.13520245,0.551267428093551
4,26,3,19,2.0831583,-.06479755,0.6351309762316141
4,26,4,23,1.8765082,-.26479757,0.9344725757739362
4,26,5,26,2.4368687,-.06479755,1.0591169145910755
4,26,6,18,2.0275974,-.06479755,0.6161145523444694
4,26,7,28,1.6192462,-.51060468,0.9726904804449878
4,26,8,22,2.1412284,-.11060469,0.5828585784664606
4,26,9,20,2.0415812,-.11060469,0.5305255183625671
4,26,10,25,1.8687998,-.31060469,0.6875698708370656
4,26,11,26,1.9058093,-.31060469,0.8591780504643505
4,26,12,41,2.9230995,-.11060469,1.0194274149063762
4,26,13,30,2.500416,-.11060469,0.7405891309821817
4,26,14,24,1.8310424,-.31060469,0.7953140271241483
4,26,15,38,2.8141255,-.11060469,0.9970272694399469
4,26,16,27,1.9421138,-.31060469,0.7411272699758693
4,26,17,18,1.5857292,-.31060469,0.5992076300734193
4,26,18,40,2.8872318,-.11060469,1.0280589573461287
4,26,19,19,1.6291819,-.31060469,0.6315936361951916
4,26,20,13,1.1033304,-.51060468,0.4625366486491059
4,26,21,7,.80962312,-.51060468,0.25495283323579404
4,26,22,25,1.8687998,-.31060469,0.6447644100204749
4,26,23,8,.86552352,-.51060468,0.2864374759081283
4,26,24,32,2.1143055,-.31060469,0.7756206993541068
4,26,25,34,2.6618962,-.11060469,0.8820051833023884
4,26,26,9,.91802633,-.51060468,0.32154524642856397
4,26,27,12,1.0600455,-.51060468,0.4315679465056163
4,26,28,7,.80962312,-.51060468,0.25495283323454887
4,26,29,17,1.5410517,-.31060469,0.5667311220595135
4,26,30,22,1.7530895,-.31060469,0.7282161147305309
5,9,1,25,2.0973351,.33520246,0.34181410050806743
5,9,2,17,2.8514748,.83520246,0.31894656840507446
5,9,3,19,4.7476134,1.2893953,0.7068565292637701
5,9,4,23,.81789345,-.56479752,0.19889693022125787
5,9,5,26,1.4337279,-.06479755,0.3042942163105911
5,9,6,18,1.7796479,.33520246,0.26407601164763134
5,9,7,28,.7057634,-.81060469,0.2070313702221222
5,9,8,22,2.5369022,.58939528,0.3372242032532181
5,9,9,20,2.4188414,.58939528,0.30694590068924393
5,9,10,25,1.6402693,.089395314,0.29470284114864037
5,9,11,26,1.1212798,-.31060469,0.24684991588940258
5,9,12,41,3.4632537,.58939528,0.5898096258511745
5,9,13,30,2.9624634,.58939528,0.4284822180196563
5,9,14,24,1.0772909,-.31060469,0.2285011829326233
5,9,15,38,3.3341427,.58939528,0.5768496326246159
5,9,16,27,1.7046179,.089395314,0.3176583540433484
5,9,17,18,.93296123,-.31060469,0.172157977219185
5,9,18,40,3.4207582,.58939528,0.5948036141890655
5,9,19,19,.95852655,-.31060469,0.18146278014970388
5,9,20,13,.48089668,-.81060469,0.0984481715092987
5,9,21,7,.3528817,-.81060469,0.05426519106202855
5,9,22,25,1.6402693,.089395314,0.2763557465895896
5,9,23,8,.37724641,-.81060469,0.0609665104468797
5,9,24,32,1.8557528,.089395314,0.33244272234245165
5,9,25,34,3.1537831,.58939528,0.5103013210906138
5,9,26,9,.40013024,-.81060469,0.06843899072019338
5,9,27,12,.46203059,-.81060469,0.09185666747886964
5,9,28,7,.3528817,-.81060469,0.05426519106200303
5,9,29,17,.90667534,-.31060469,0.16282717227989832
5,9,30,22,1.0314275,-.31060469,0.20922332363894144
6,28,1,25,2.4797494,-.06479755,0.8547812370483345
6,28,2,17,2.0448537,-.06479755,0.48376665763913634
6,28,3,19,2.1617954,-.06479755,0.6807626545477562
6,28,4,23,2.3784921,-.06479755,1.223370183485074
6,28,5,26,2.5288582,-.06479755,1.135210332835563
6,28,6,18,2.1041372,-.06479755,0.660379975895476
6,28,7,28,2.0524101,-.31060469,1.273403340616174
6,28,8,22,1.819267,-.31060469,0.5114895876444182
6,28,9,20,1.734603,-.31060469,0.4655645268442143
6,28,10,25,1.9393452,-.31060469,0.7369690775454681
6,28,11,26,1.9777517,-.31060469,0.9209066381338376
6,28,12,41,2.4835737,-.31060469,0.8946020833939483
6,28,13,30,2.1244462,-.31060469,0.649906601042994
6,28,14,24,1.9001625,-.31060469,0.8524542339815059
6,28,15,38,2.3909853,-.31060469,0.8749447440908817
6,28,16,27,2.0154266,-.31060469,0.794374366981495
6,28,17,18,1.645589,-.31060469,0.6422583573446835
6,28,18,40,2.4530993,-.31060469,0.9021767117324438
6,28,19,19,1.6906819,-.31060469,0.6769711716418122
6,28,20,13,1.3984817,-.31060469,0.6055325132076417
6,28,21,7,1.0262051,-.31060469,0.33377296990671723
6,28,22,25,1.9393452,-.31060469,0.6910882091302719
6,28,23,8,1.0970592,-.31060469,0.374991270153561
6,28,24,32,2.1941185,-.31060469,0.8313460110632981
6,28,25,34,2.2616458,-.31060469,0.7740067240156163
6,28,26,9,1.1636071,-.31060469,0.4209528094652605
6,28,27,12,1.3436178,-.31060469,0.5649896593901816
6,28,28,7,1.0262051,-.31060469,0.3337729699054766
6,28,29,17,1.599225,-.31060469,0.6074485389484225
6,28,30,22,1.819267,-.31060469,0.7805355982898698
7,31,1,25,3.5220699,.23520246,1.1824746233897807
7,31,2,17,2.9043734,.23520246,0.6692258579482179
7,31,3,19,3.0704694,.23520246,0.9417433655407834
7,31,4,23,1.6775897,-.46479756,0.8404050998078951
7,31,5,26,2.6608863,-.06479755,1.1633888632184914
7,31,6,18,2.9885755,.23520246,0.9135467220405529
7,31,7,28,1.4475987,-.71060467,0.874775846467399
7,31,8,22,2.5839651,-.01060468,0.7075767733860744
7,31,9,20,2.4637139,-.01060468,0.6440456562442312
7,31,10,25,2.7545159,-.01060468,1.0194974225144913
7,31,11,26,2.0810075,-.31060469,0.9437656639736646
7,31,12,41,3.5275016,-.01060468,1.2375612090212438
7,31,13,30,3.017421,-.01060468,0.8990579684573675
7,31,14,24,1.9993672,-.31060469,0.8736141131712958
7,31,15,38,3.3959954,-.01060468,1.2103679792498199
7,31,16,27,2.862577,-.01060468,1.0989099107473654
7,31,17,18,1.7315028,-.31060469,0.658200692409481
7,31,18,40,3.4842176,-.01060468,1.2480397230697655
7,31,19,19,1.77895,-.31060469,0.6937751582036831
7,31,20,13,.98637223,-.71060467,0.41597599599539514
7,31,21,7,.72379935,-.71060467,0.22928833549310088
7,31,22,25,2.7545159,-.01060468,0.956027381186507
7,31,23,8,.77377403,-.71060467,0.2576036180131674
7,31,24,32,3.116379,-.01060468,1.1500551384609197
7,31,25,34,3.21229,-.01060468,1.0707338170121148
7,31,26,9,.82071131,-.71060467,0.2891773105004191
7,31,27,12,.94767576,-.71060467,0.3881247179528337
7,31,28,7,.72379935,-.71060467,0.22928833549321628
7,31,29,17,1.6827183,-.31060469,0.6225268146983993
7,31,30,22,1.9142483,-.31060469,0.7999102914674531
8,24,1,25,2.2958019,-.06479755,0.7532680807610184
8,24,2,17,1.8931668,-.06479755,0.4263149182579966
8,24,3,19,2.0014336,-.06479755,0.5999158096732348
8,24,4,23,2.2020557,-.06479755,1.078083693038329
8,24,5,26,2.3412678,-.06479755,1.0003936320931348
8,24,6,18,1.9480525,-.06479755,0.5819537621231583
8,24,7,28,1.9001625,-.31060469,1.12217495836167
8,24,8,22,1.684314,-.31060469,0.450745499612338
8,24,9,20,1.6059303,-.31060469,0.41027446230740244
8,24,10,25,1.7954848,-.31060469,0.6494472058766546
8,24,11,26,1.8310424,-.31060469,0.8115404827870665
8,24,12,41,2.2993424,-.31060469,0.788359862925279
8,24,13,30,1.966855,-.31060469,0.572724225889485
8,24,14,24,1.7592086,-.31060469,0.7512174325994295
8,24,15,38,2.2136223,-.31060469,0.7710370070826735
8,24,16,27,1.8659225,-.31060469,0.7000350877804362
8,24,17,18,1.5235193,-.31060469,0.5659842548550564
8,24,18,40,2.2711284,-.31060469,0.7950349295980157
8,24,19,19,1.5652673,-.31060469,0.5965746022709373
8,24,20,13,1.2947425,-.31060469,0.5336199456090541
8,24,21,7,.95008123,-.31060469,0.2941343543238815
8,24,22,25,1.7954848,-.31060469,0.6090151163860438
8,24,23,8,1.0156796,-.31060469,0.3304576010542
8,24,24,32,2.0313592,-.31060469,0.7326160136018717
8,24,25,34,2.0938771,-.31060469,0.6820863088211531
8,24,26,9,1.0772909,-.31060469,0.3709607837600612
8,24,27,12,1.2439483,-.31060469,0.49789192969670537
8,24,28,7,.95008123,-.31060469,0.29413435432531887
8,24,29,17,1.4805946,-.31060469,0.5353084234974016
8,24,30,22,1.684314,-.31060469,0.6878397981553104
9,26,1,25,3.5647843,.33520246,0.9194478826151725
9,26,2,17,4.8465753,.83520246,0.8579363507158608
9,26,3,19,3.1077068,.33520246,0.7322642998914731
9,26,4,23,3.6096311,.3893953,1.3892034969747842
9,26,5,26,2.4368687,-.06479755,0.8185229043721319
9,26,6,18,3.0248199,.33520246,0.710339710749722
9,26,7,28,1.1995671,-.81060469,0.5568949736994567
9,26,8,22,4.3119044,.58939528,0.9071014896512609
9,26,9,20,4.1112394,.58939528,0.8256556902025121
9,26,10,25,2.7879217,.089395314,0.7927230013638984
9,26,11,26,1.9058093,-.31060469,0.6640031149954578
9,26,12,41,5.8863993,.58939528,1.5865326190726385
9,26,13,30,5.0352197,.58939528,1.1525769910866954
9,26,14,24,1.8310424,-.31060469,0.6146467439237044
9,26,15,38,5.6669526,.58939528,1.5516714689703195
9,26,16,27,2.8972931,.089395314,0.8544711784995521
9,26,17,18,1.5857292,-.31060469,0.4630888069049197
9,26,18,40,5.8141708,.58939528,1.5999659929912406
9,26,19,19,1.6291819,-.31060469,0.4881178534559493
9,26,20,13,.8173672,-.81060469,0.2648163486471418
9,26,21,7,.59978354,-.81060469,0.1459682774363655
9,26,22,25,2.7879217,.089395314,0.7433710307455843
9,26,23,8,.6411956,-.81060469,0.16399419753040384
9,26,24,32,3.1541734,.089395314,0.8942397223521271
9,26,25,34,5.3604007,.58939528,1.372662733483314
9,26,26,9,.68009061,-.81060469,0.18409446820935438
9,26,27,12,.78530103,-.81060469,0.24708582165017395
9,26,28,7,.59978354,-.81060469,0.14596827743591692
9,26,29,17,1.5410517,-.31060469,0.4379898174553923
9,26,30,22,1.7530895,-.31060469,0.5627911104968284
10,27,1,25,2.4350655,-.06479755,0.8096387302891471
10,27,2,17,2.4525847,.13520245,0.5596687375825465
10,27,3,19,2.1228409,-.06479755,0.6448103776610554
10,27,4,23,2.9541931,.17014514,1.465644043400877
10,27,5,26,2.4832895,-.06479755,1.0752578882356192
10,27,6,18,2.0662217,-.06479755,0.6255041485996915
10,27,7,28,1.6500918,-.51060468,0.9875143248861892
10,27,8,22,2.1820173,-.11060469,0.5917413364816554
10,27,9,20,2.080472,-.11060469,0.5386107217847977
10,27,10,25,1.9043992,-.31060469,0.6980484480191778
10,27,11,26,1.9421138,-.31060469,0.872271951363678
10,27,12,41,2.9787827,-.11060469,1.0349634787007123
10,27,13,30,2.5480473,-.11060469,0.7518756944183388
10,27,14,24,1.8659225,-.31060469,0.8074346379161487
10,27,15,38,2.8677328,-.11060469,1.0122219602839204
10,27,16,27,1.9791096,-.31060469,0.7524220632710167
10,27,17,18,1.6159363,-.31060469,0.6083395732628216
10,27,18,40,2.9422317,-.11060469,1.043726569947164
10,27,19,19,1.6602167,-.31060469,0.6412191429908045
10,27,20,13,1.124348,-.51060468,0.46958572685424377
10,27,21,7,.82504588,-.51060468,0.2588383262439164
10,27,22,25,1.9043992,-.31060469,0.6545906267301802
10,27,23,8,.88201118,-.51060468,0.2908027960259855
10,27,24,32,2.1545818,-.31060469,0.7874411664409926
10,27,25,34,2.7126036,-.11060469,0.8954469345433536
10,27,26,9,.93551409,-.51060468,0.32644561035700975
10,27,27,12,1.0802387,-.51060468,0.4381450606875733
10,27,28,7,.82504588,-.51060468,0.25883832624403463
10,27,29,17,1.5704077,-.31060469,0.5753681224412507
10,27,30,22,1.7864847,-.31060469,0.7393141510244603
11,22,1,25,2.1980629,-.06479755,0.6942009378148781
11,22,2,17,2.213877,.13520245,0.4798715306265762
11,22,3,19,1.9162269,-.06479755,0.5528737100423057
11,22,4,23,1.7261364,-.26479757,0.8134468969605335
11,22,5,26,2.2415931,-.06479755,0.9219482556657891
11,22,6,18,1.8651183,-.06479755,0.5363201464612892
11,22,7,28,1.4894899,-.51060468,0.8467151181988908
11,22,8,22,1.9696437,-.11060469,0.5073712432079734
11,22,9,20,1.8779815,-.11060469,0.4618159570799401
11,22,10,25,1.7190458,-.31060469,0.5985211276804314
11,22,11,26,1.7530895,-.31060469,0.7479039366175764
11,22,12,41,2.6888604,-.11060469,0.8873990566512588
11,22,13,30,2.3000484,-.11060469,0.6446737587694014
11,22,14,24,1.684314,-.31060469,0.6923110888137289
11,22,15,38,2.588619,-.11060469,0.8678999988029353
11,22,16,27,1.7864847,-.31060469,0.6451421855778511
11,22,17,18,1.4586587,-.31060469,0.5216028799164393
11,22,18,40,2.6558671,-.11060469,0.8949127037908315
11,22,19,19,1.4986293,-.31060469,0.5497945002389389
11,22,20,13,1.0149163,-.51060468,0.4026324720899588
11,22,21,7,.74474496,-.51060468,0.22193331089957263
11,22,22,25,1.7190458,-.31060469,0.5612595029736934
11,22,23,8,.79616582,-.51060468,0.24934030549515587
11,22,24,32,1.9448782,-.31060469,0.6751682981152951
11,22,25,34,2.4485884,-.11060469,0.767774687939112
11,22,26,9,.84446138,-.51060468,0.2799011884709191
11,22,27,12,.97510004,-.51060468,0.3756745973799137
11,22,28,7,.74474496,-.51060468,0.22193331089847937
11,22,29,17,1.4175614,-.31060469,0.49333247881759773
11,22,30,22,1.6126078,-.31060469,0.6339031805620139
12,30,1,25,3.4647968,.23520246,1.1510184483550328
12,30,2,17,2.8571446,.23520246,0.6514231210263626
12,30,3,19,3.0205398,.23520246,0.9166911202021536
12,30,4,23,1.65031,-.46479756,0.818048660504563
12,30,5,26,2.6176169,-.06479755,1.1324404129742087
12,30,6,18,2.9399776,.23520246,0.889244565114744
12,30,7,28,1.4240589,-.71060467,0.8515050783494097
12,30,8,22,2.5419466,-.01060468,0.6887538266784928
12,30,9,20,2.423651,-.01060468,0.6269127637024704
12,30,10,25,2.7097242,-.01060468,0.9923767676942942
12,30,11,26,2.0471675,-.31060469,0.918659627431483
12,30,12,41,3.47014,-.01060468,1.2046396236097976
12,30,13,30,2.968354,-.01060468,0.875141241556755
12,30,14,24,1.966855,-.31060469,0.850374246780501
12,30,15,38,3.3407722,-.01060468,1.1781697873508794
12,30,16,27,2.8160279,-.01060468,1.0696767261776117
12,30,17,18,1.7033464,-.31060469,0.6406912498993745
12,30,18,40,3.4275601,-.01060468,1.2148393881403012
12,30,19,19,1.7500221,-.31060469,0.6753193643762212
12,30,20,13,.97033256,-.71060467,0.40491021157977986
12,30,21,7,.71202946,-.71060467,0.22318881236580537
12,30,22,25,2.7097242,-.01060468,0.9305951548316477
12,30,23,8,.76119149,-.71060467,0.25075085233035715
12,30,24,32,3.0657029,-.01060468,1.1194613887345448
12,30,25,34,3.1600542,-.01060468,1.0422501711669776
12,30,26,9,.80736554,-.71060467,0.28148462211278985
12,30,27,12,.9322654,-.71060467,0.37779983268526585
12,30,28,7,.71202946,-.71060467,0.22318881236590732
12,30,29,17,1.6553551,-.31060469,0.6059663680748462
12,30,30,22,1.8831203,-.31060469,0.778631092750004
13,18,1,25,2.9660797,.33520246,0.6816626371992107
13,18,2,17,4.0325942,.83520246,0.6360590563141056
13,18,3,19,2.5857685,.33520246,0.5428879902369327
13,18,4,23,1.1566761,-.56479752,0.39665012525492227
13,18,5,26,2.0275974,-.06479755,0.6068386219532026
13,18,6,18,2.5168021,.33520246,0.5266334833378398
13,18,7,28,.99810016,-.81060469,0.41287223293236774
13,18,8,22,3.5877213,.58939528,0.6725092337276063
13,18,9,20,3.4207582,.58939528,0.6121267390055807
13,18,10,25,2.3196909,.089395314,0.5877110229009797
13,18,11,26,1.5857292,-.31060469,0.4922803446176696
13,18,12,41,4.8977804,.58939528,1.1762276265754084
13,18,13,30,4.1895561,.58939528,0.8545004921901634
13,18,14,24,1.5235193,-.31060469,0.45568839092140084
13,18,15,38,4.7151899,.58939528,1.1503821736429083
13,18,16,27,2.4106936,.089395314,0.6334900455377418
13,18,17,18,1.3194064,-.31060469,0.34332597627664646
13,18,18,40,4.8376827,.58939528,1.1861868929628636
13,18,19,19,1.3555613,-.31060469,0.36188207548021734
13,18,20,13,.68009061,-.81060469,0.19633022857258844
13,18,21,7,.49905008,-.81060469,0.10821833791778072
13,18,22,25,2.3196909,.089395314,0.5511223335764642
13,18,23,8,.53350699,-.81060469,0.12158244134214657
13,18,24,32,2.6244309,.089395314,0.6629737558739897
13,18,25,34,4.4601231,.58939528,1.0176682200187952
13,18,26,9,.56586957,-.81060469,0.13648443204937213
13,18,27,12,.65340996,-.81060469,0.18318512452729768
13,18,28,7,.49905008,-.81060469,0.10821833791800714
13,18,29,17,1.2822326,-.31060469,0.3247180226109302
13,18,30,22,1.4586587,-.31060469,0.4172435276432578
14,25,1,25,2.7337821,.089395314,0.6759034040127502
14,25,2,17,3.7167692,.58939528,0.6306851085764078
14,25,3,19,2.383256,.089395314,0.5383012449156306
14,25,4,23,1.0660874,-.81060469,0.39329886256492685
14,25,5,26,1.8687998,-.31060469,0.601711531228199
14,25,6,18,2.3196909,.089395314,0.5221840517834938
14,25,7,28,1.5040441,-.56479752,0.6693236220298936
14,25,8,22,5.4063625,.83520246,1.0902314169775666
14,25,9,20,5.1547642,.83520246,0.9923429596806227
14,25,10,25,3.4955585,.33520246,0.9527616732492856
14,25,11,26,2.3895464,-.06479755,0.7980552255645516
14,25,12,41,7.3804994,.83520246,1.9068293148264073
14,25,13,30,6.313271,.83520246,1.3852646366197232
14,25,14,24,2.2958019,-.06479755,0.7387345530088019
14,25,15,38,7.1053524,.83520246,1.8649302550273803
14,25,16,27,3.6326911,.33520246,1.026975867295298
14,25,17,18,1.5549355,-.31060469,0.43528574653828317
14,25,18,40,5.7012634,.58939528,1.5039067411476204
14,25,19,19,1.5975443,-.31060469,0.4588120918248238
14,25,20,13,.80149448,-.81060469,0.24891722589156487
14,25,21,7,.58813614,-.81060469,0.1372045901227292
14,25,22,25,2.7337821,.089395314,0.6987403014202429
14,25,23,8,.62874401,-.81060469,0.15414826457161854
14,25,24,32,3.0929215,.089395314,0.8405510918308419
14,25,25,34,5.2563052,.58939528,1.2902503852755332
14,25,26,9,.66688371,-.81060469,0.17304174931711938
14,25,27,12,.770051,-.81060469,0.2322512094147171
14,25,28,7,.58813614,-.81060469,0.1372045901230334
14,25,29,17,1.5111256,-.31060469,0.4116936575729115
14,25,30,22,1.7190458,-.31060469,0.5290020937231198
15,19,1,25,1.5975443,-.31060469,0.4604070005945294
15,19,2,17,1.6090379,-.11060469,0.31825977208334316
15,19,3,19,1.3927068,-.31060469,0.36667615359025946
15,19,4,23,1.2545499,-.51060468,0.5394931173214801
15,19,5,26,1.6291819,-.31060469,0.6114532201210102
15,19,6,18,1.3555613,-.31060469,0.3556975107673684
15,19,7,28,1.7699283,-.26479757,0.9181197925067622
15,19,8,22,2.3404849,.13520245,0.5501584201530091
15,19,9,20,2.2315648,.13520245,0.5007614091970465
15,19,10,25,2.0427046,-.06479755,0.6489951796611365
15,19,11,26,2.0831583,-.06479755,0.8109756987706013
15,19,12,41,3.1951144,.13520245,0.9622344205801768
15,19,13,30,2.7330973,.13520245,0.6990397795286851
15,19,14,24,2.0014336,-.06479755,0.7506946269768754
15,19,15,38,3.0759997,.13520245,0.9410910086222466
15,19,16,27,2.1228409,-.06479755,0.6995478542446839
15,19,17,18,1.3555613,-.31060469,0.4423329966057953
15,19,18,40,2.4681513,-.11060469,0.7589095289335679
15,19,19,19,1.3927068,-.31060469,0.4662402336356274
15,19,20,13,.94318241,-.51060468,0.3414429627006845
15,19,21,7,.69210666,-.51060468,0.18820530686764766
15,19,22,25,1.5975443,-.31060469,0.47596284661697036
15,19,23,8,.73989314,-.51060468,0.2114471614136981
15,19,24,32,1.807415,-.31060469,0.5725605063887111
15,19,25,34,2.2755232,-.11060469,0.6510931434327334
15,19,26,9,.7847752,-.51060468,0.23736359655282754
15,19,27,12,.90618032,-.51060468,0.3185819740824355
15,19,28,7,.69210666,-.51060468,0.18820530686852735
15,19,29,17,1.3173687,-.31060469,0.4183589514791395
15,19,30,22,1.4986293,-.31060469,0.537566611731684
16,27,1,25,1.9043992,-.31060469,0.6197417633957418
16,27,2,17,1.9181004,-.11060469,0.42840109543585697
16,27,3,19,1.6602167,-.31060469,0.4935731342365784
16,27,4,23,1.4955227,-.51060468,0.7261975236367381
16,27,5,26,1.9421138,-.31060469,0.8230611360179756
16,27,6,18,1.6159363,-.31060469,0.4787950762396577
16,27,7,28,2.1098948,-.26479757,1.2358569519190907
16,27,8,22,2.7900431,.13520245,0.7405538091855633
16,27,9,20,2.6602015,.13520245,0.674061786576789
16,27,10,25,2.4350655,-.06479755,0.8735953926904108
16,27,11,26,2.4832895,-.06479755,1.0916331214628825
16,27,12,41,3.8088291,.13520245,1.2952385073635453
16,27,13,30,3.2580683,.13520245,0.9409590930790172
16,27,14,24,2.3858674,-.06479755,1.0104903523663857
16,27,15,38,3.6668348,.13520245,1.2667779276613313
16,27,16,27,2.5305943,-.06479755,0.9416430226770957
16,27,17,18,1.6159363,-.31060469,0.5954128398936894
16,27,18,40,2.9422317,-.11060469,1.0215481712981087
16,27,19,19,1.6602167,-.31060469,0.6275937445911784
16,27,20,13,1.124348,-.51060468,0.45960740792141075
16,27,21,7,.82504588,-.51060468,0.25333822101376674
16,27,22,25,1.9043992,-.31060469,0.6406810840294567
16,27,23,8,.88201118,-.51060468,0.2846234714056984
16,27,24,32,2.1545818,-.31060469,0.7707086516356839
16,27,25,34,2.7126036,-.11060469,0.8764193643093631
16,27,26,9,.93551409,-.51060468,0.319508904514735
16,27,27,12,1.0802387,-.51060468,0.4288348309442188
16,27,28,7,.82504588,-.51060468,0.2533382210149141
16,27,29,17,1.5704077,-.31060469,0.5631420065288263
16,27,30,22,1.7864847,-.31060469,0.7236043110668119
17,40,1,25,3.4579914,.089395314,0.9497185078390792
17,40,2,17,4.7013822,.58939528,0.8861818518687744
17,40,3,19,3.014607,.089395314,0.756372368137674
17,40,4,23,1.3485056,-.81060469,0.5526280807030044
17,40,5,26,2.3638656,-.31060469,0.8454707674165293
17,40,6,18,2.9342029,.089395314,0.7337259376569236
17,40,7,28,1.902482,-.56479752,0.9404731731939491
17,40,8,22,6.8385677,.83520246,1.5318949180774233
17,40,9,20,6.5203185,.83520246,1.394350877084845
