i_id,i_n,j_id,j_n,alpha
9,41,9,41,1.7893953
9,41,10,11,.3893953
9,41,11,49,.58939528
9,41,12,17,-.31060469
9,41,13,24,.089395314
9,41,14,34,.089395314
9,41,15,29,.33520246
9,41,16,28,-.31060469
9,41,17,18,-.31060469
9,41,18,31,1.2893953
9,41,19,34,.089395314
9,41,20,35,.83520246
10,11,1,33,-.31060469
10,11,2,51,-.31060469
10,11,3,21,.8893953
10,11,4,19,-.31060469
10,11,5,3,-.31060469
10,11,6,1,-.31060469
10,11,7,23,-.06479755
10,11,8,17,-.06479755
10,11,9,41,.8893953
10,11,10,11,.8893953
10,11,11,49,-.31060469
10,11,12,17,-.31060469
10,11,13,24,-.31060469
10,11,14,34,-.31060469
10,11,15,29,-.06479755
10,11,16,28,-.31060469
10,11,17,18,-.31060469
10,11,18,31,.8893953
10,11,19,34,-.31060469
10,11,20,35,-.06479755
11,49,1,33,-.81060469
11,49,2,51,.83520246
11,49,3,21,-.31060469
11,49,4,19,.58939528
11,49,5,3,.3893953
11,49,6,1,-.56479752
11,49,7,23,-.31060469
11,49,8,17,-.81060469
11,49,9,41,.58939528
11,49,10,11,-.81060469
11,49,11,49,1.7893953
11,49,12,17,-.06479755
11,49,13,24,.089395314
11,49,14,34,.33520246
11,49,15,29,.089395314
11,49,16,28,-.31060469
11,49,17,18,.8893953
11,49,18,31,.089395314
11,49,19,34,1.2893953
11,49,20,35,.58939528
12,17,1,33,-.51060468
12,17,2,51,1.0893953
12,17,3,21,-.31060469
12,17,4,19,-.11060469
12,17,5,3,-.26479757
12,17,6,1,.68939531
12,17,7,23,-.31060469
12,17,8,17,-.51060468
12,17,9,41,-.11060469
12,17,10,11,-.51060468
12,17,11,49,.13520245
12,17,12,17,.8893953
12,17,13,24,-.31060469
12,17,14,34,.8893953
12,17,15,29,-.31060469
12,17,16,28,-.31060469
12,17,17,18,-.06479755
12,17,18,31,-.31060469
12,17,19,34,-.06479755
12,17,20,35,-.11060469
13,24,1,33,.48939529
13,24,2,51,-.01060468
13,24,3,21,-.31060469
13,24,4,19,1.1893953
13,24,5,3,-.71060467
13,24,6,1,-.71060467
13,24,7,23,-.31060469
13,24,8,17,-.71060467
13,24,9,41,-.01060468
13,24,10,11,-.71060467
13,24,11,49,-.01060468
13,24,12,17,-.31060469
13,24,13,24,1.1893953
13,24,14,34,-.01060468
13,24,15,29,-.01060468
13,24,16,28,.8893953
13,24,17,18,-.31060469
13,24,18,31,-.01060468
13,24,19,34,-.01060468
13,24,20,35,-.01060468
14,34,1,33,-.71060467
14,34,2,51,1.1893953
14,34,3,21,-.31060469
14,34,4,19,-.01060468
14,34,5,3,-.46479756
14,34,6,1,.48939529
14,34,7,23,-.31060469
14,34,8,17,-.71060467
14,34,9,41,-.01060468
14,34,10,11,-.71060467
14,34,11,49,.23520246
14,34,12,17,.8893953
14,34,13,24,-.01060468
14,34,14,34,1.1893953
14,34,15,29,-.01060468
14,34,16,28,-.31060469
14,34,17,18,-.06479755
14,34,18,31,-.01060468
14,34,19,34,.23520246
14,34,20,35,-.01060468
15,29,1,33,-.71060467
15,29,2,51,-.01060468
15,29,3,21,-.06479755
15,29,4,19,-.01060468
15,29,5,3,-.71060467
15,29,6,1,-.71060467
15,29,7,23,.8893953
15,29,8,17,.48939529
15,29,9,41,.23520246
15,29,10,11,-.46479756
15,29,11,49,-.01060468
15,29,12,17,-.31060469
15,29,13,24,-.01060468
15,29,14,34,-.01060468
15,29,15,29,1.1893953
15,29,16,28,-.31060469
15,29,17,18,-.31060469
15,29,18,31,.23520246
15,29,19,34,-.01060468
15,29,20,35,1.1893953
16,28,1,33,.68939531
16,28,2,51,-.11060469
16,28,3,21,-.31060469
16,28,4,19,1.0893953
16,28,5,3,-.51060468
16,28,6,1,-.51060468
16,28,7,23,-.31060469
16,28,8,17,-.51060468
16,28,9,41,-.11060469
16,28,10,11,-.51060468
16,28,11,49,-.11060469
16,28,12,17,-.31060469
16,28,13,24,.8893953
16,28,14,34,-.31060469
16,28,15,29,-.31060469
16,28,16,28,.8893953
16,28,17,18,-.31060469
16,28,18,31,-.31060469
16,28,19,34,-.31060469
16,28,20,35,-.11060469
17,18,1,33,-.51060468
17,18,2,51,.13520245
17,18,3,21,-.31060469
17,18,4,19,-.11060469
17,18,5,3,.68939531
17,18,6,1,-.26479757
17,18,7,23,-.31060469
17,18,8,17,-.51060468
17,18,9,41,-.11060469
17,18,10,11,-.51060468
17,18,11,49,1.0893953
17,18,12,17,-.06479755
17,18,13,24,-.31060469
17,18,14,34,-.06479755
17,18,15,29,-.31060469
17,18,16,28,-.31060469
17,18,17,18,.8893953
17,18,18,31,-.31060469
17,18,19,34,.8893953
17,18,20,35,-.11060469
18,31,1,33,-.71060467
18,31,2,51,-.01060468
18,31,3,21,.8893953
18,31,4,19,-.01060468
18,31,5,3,-.71060467
18,31,6,1,-.71060467
18,31,7,23,-.06479755
18,31,8,17,-.46479756
18,31,9,41,1.1893953
18,31,10,11,.48939529
18,31,11,49,-.01060468
18,31,12,17,-.31060469
18,31,13,24,-.01060468
18,31,14,34,-.01060468
18,31,15,29,.23520246
18,31,16,28,-.31060469
18,31,17,18,-.31060469
18,31,18,31,1.1893953
18,31,19,34,-.01060468
18,31,20,35,.23520246
19,34,1,33,-.71060467
19,34,2,51,.23520246
19,34,3,21,-.31060469
19,34,4,19,-.01060468
19,34,5,3,.48939529
19,34,6,1,-.46479756
19,34,7,23,-.31060469
19,34,8,17,-.71060467
19,34,9,41,-.01060468
19,34,10,11,-.71060467
19,34,11,49,1.1893953
19,34,12,17,-.06479755
19,34,13,24,-.01060468
19,34,14,34,.23520246
19,34,15,29,-.01060468
19,34,16,28,-.31060469
19,34,17,18,.8893953
19,34,18,31,-.01060468
19,34,19,34,1.1893953
19,34,20,35,-.01060468
20,35,1,33,-.81060469
20,35,2,51,.58939528
20,35,3,21,-.06479755
20,35,4,19,.58939528
20,35,5,3,-.81060469
20,35,6,1,-.81060469
20,35,7,23,.8893953
20,35,8,17,.3893953
20,35,9,41,.83520246
20,35,10,11,-.56479752
20,35,11,49,.58939528
20,35,12,17,-.31060469
20,35,13,24,.089395314
20,35,14,34,.089395314
20,35,15,29,1.2893953
20,35,16,28,-.31060469
20,35,17,18,-.31060469
20,35,18,31,.33520246
20,35,19,34,.089395314
20,35,20,35,1.7893953
1,33,0,,0
2,51,0,,0
3,21,0,,0
4,19,0,,0
5,3,0,,0
6,1,0,,0
7,23,0,,0
8,17,0,,0
9,41,0,,0
10,11,0,,0
11,49,0,,0
12,17,0,,0
13,24,0,,0
14,34,0,,0
15,29,0,,0
16,28,0,,0
17,18,0,,0
18,31,0,,0
19,34,0,,0
20,35,0,,0
0,,1,33,0
0,,2,51,0
0,,3,21,0
0,,4,19,0
0,,5,3,0
0,,6,1,0
0,,7,23,0
0,,8,17,0
0,,9,41,0
0,,10,11,0
0,,11,49,0
0,,12,17,0
0,,13,24,0
0,,14,34,0
0,,15,29,0
0,,16,28,0
0,,17,18,0
0,,18,31,0
0,,19,34,0
0,,20,35,0
